rule_id,pmd_native_category,our_category,reasoning
AbstractClassWithoutAbstractMethod,Best Practices,code_smells,Abstract class with no abstract methods is confusing and hard to maintain.
AbstractClassWithoutAnyMethod,Best Practices,code_smells,An abstract class with no methods at all serves no purpose.
AccessorClassGeneration,Best Practices,code_smells,Generating accessor classes adds unnecessary complexity.
AccessorMethodGeneration,Best Practices,code_smells,Unnecessary accessor method generation clutters code.
ArrayIsStoredDirectly,Best Practices,code_smells,Storing array references directly can cause unintended mutations.
AvoidMessageDigestField,Best Practices,code_smells,MessageDigest fields are not thread-safe and lead to subtle bugs.
AvoidPrintStackTrace,Best Practices,code_smells,Using printStackTrace is poor error handling practice.
AvoidReassigningCatchVariables,Best Practices,code_smells,Reassigning catch variables makes exception handling confusing.
AvoidReassigningLoopVariables,Best Practices,code_smells,Reassigning loop variables makes loops harder to reason about.
AvoidReassigningParameters,Best Practices,code_smells,Reassigning method parameters is confusing and error-prone.
AvoidStringBufferField,Best Practices,code_smells,StringBuffer fields are not thread-safe and are a design smell.
AvoidUsingHardCodedIP,Best Practices,code_smells,Hard-coded IP addresses are a maintainability and portability issue.
CheckResultSet,Best Practices,code_smells,Ignoring ResultSet.next() return value leads to silent errors.
ConstantsInInterface,Best Practices,architectural_violations,Using interfaces purely for constants violates interface purpose and creates tight coupling.
DefaultLabelNotLastInSwitchStmt,Best Practices,code_smells,Default label not last in switch reduces readability.
DoubleBraceInitialization,Best Practices,code_smells,Double brace initialization creates anonymous subclasses unnecessarily.
ForLoopVariableCount,Best Practices,code_smells,Too many variables in a for loop hurts readability.
GuardLogStatement,Best Practices,performance_issues,Unguarded log statements evaluate arguments even when logging is disabled wasting CPU.
JUnit4SuitesShouldUseSuiteAnnotation,Best Practices,outdated_patterns,JUnit 3 style suite() method is obsolete since JUnit 4 introduced @Suite.
JUnit4TestShouldUseAfterAnnotation,Best Practices,outdated_patterns,JUnit 3 style tearDown() is obsolete; use @After annotation instead.
JUnit4TestShouldUseBeforeAnnotation,Best Practices,outdated_patterns,JUnit 3 style setUp() is obsolete; use @Before annotation instead.
JUnit4TestShouldUseTestAnnotation,Best Practices,outdated_patterns,JUnit 3 style test naming convention is obsolete; use @Test annotation.
JUnit5TestShouldBePackagePrivate,Best Practices,code_smells,JUnit 5 test methods should not be public; package-private is sufficient.
JUnitAssertionsShouldIncludeMessage,Best Practices,code_smells,Assertions without messages make failures hard to diagnose.
JUnitTestContainsTooManyAsserts,Best Practices,code_smells,Too many assertions in one test makes it hard to identify what failed.
JUnitTestsShouldIncludeAssert,Best Practices,code_smells,Tests without assertions do not verify any behavior.
JUnitUseExpected,Best Practices,code_smells,Using try/catch in tests instead of @Test(expected) is verbose and error-prone.
LooseCoupling,Best Practices,architectural_violations,Using concrete types instead of interfaces increases coupling between components.
MissingOverride,Best Practices,code_smells,Missing @Override annotation makes intent unclear and can hide bugs.
OneDeclarationPerLine,Best Practices,code_smells,Multiple declarations per line reduce readability.
PositionLiteralsFirstInCaseInsensitiveComparisons,Best Practices,code_smells,Reversing comparison order prevents NullPointerException.
PositionLiteralsFirstInComparisons,Best Practices,code_smells,Reversing comparison order prevents NullPointerException.
PreserveStackTrace,Best Practices,code_smells,Losing the original stack trace makes debugging harder.
PrimitiveWrapperInstantiation,Best Practices,outdated_patterns,Using new Integer() etc is deprecated since Java 9; use valueOf() instead.
ReplaceEnumerationWithIterator,Best Practices,outdated_patterns,Enumeration is a legacy interface replaced by Iterator since Java 2.
ReplaceHashtableWithHashMap,Best Practices,outdated_patterns,Hashtable is a legacy synchronized class; use HashMap or ConcurrentHashMap.
ReplaceVectorWithArrayList,Best Practices,outdated_patterns,Vector is a legacy synchronized class; use ArrayList instead.
SimplifiableTestAssertion,Best Practices,code_smells,Overly verbose assertions can be replaced with simpler forms.
SwitchStmtsShouldHaveDefault,Best Practices,code_smells,Switch without default case may silently ignore unhandled values.
SystemPrintln,Best Practices,code_smells,Using System.out/err for logging is not suitable for production code.
UnusedFormalParameter,Best Practices,code_smells,Unused parameters clutter method signatures.
UnusedImports,Best Practices,code_smells,Unused imports add noise and confusion.
UnusedLocalVariable,Best Practices,code_smells,Unused local variables indicate dead code or incomplete logic.
UnusedPrivateField,Best Practices,code_smells,Unused private fields are dead code.
UnusedPrivateMethod,Best Practices,code_smells,Unused private methods are dead code.
UseCollectionIsEmpty,Best Practices,code_smells,Using size()==0 instead of isEmpty() is less readable.
UseEnumCollections,Best Practices,performance_issues,EnumSet/EnumMap are more efficient than HashMap/HashSet for enum keys.
UseStandardCharsets,Best Practices,outdated_patterns,StandardCharsets constants should be used instead of string literals since Java 7.
UseTryWithResources,Best Practices,outdated_patterns,Try-with-resources (Java 7) should replace manual finally-based cleanup.
UseVarargs,Best Practices,outdated_patterns,Varargs (Java 5) should replace array parameters where appropriate.
WhileLoopWithLiteralBoolean,Best Practices,code_smells,while(true) or while(false) with literal booleans is confusing.
AbstractNaming,Code Style,code_smells,Abstract classes should follow naming conventions.
AtLeastOneConstructor,Code Style,code_smells,Classes should explicitly declare a constructor for clarity.
AvoidDollarSigns,Code Style,code_smells,Dollar signs in identifiers are unconventional in Java.
AvoidFinalLocalVariable,Code Style,code_smells,Final local variables can add clutter without benefit.
AvoidPrefixingMethodParameters,Code Style,code_smells,Prefixing method parameters with 'a' or similar is a dated convention.
AvoidProtectedFieldInFinalClass,Code Style,code_smells,Protected fields in final classes serve no inheritance purpose.
AvoidProtectedMethodInFinalClassNotExtending,Code Style,code_smells,Protected methods in non-extended final classes are pointless.
AvoidUsingNativeCode,Code Style,architectural_violations,JNI calls reduce portability and create tight platform coupling.
BooleanGetMethodName,Code Style,code_smells,Boolean getters should be named isXxx or hasXxx by convention.
CallSuperInConstructor,Code Style,code_smells,Explicit super() call improves clarity in constructors.
ClassNamingConventions,Code Style,code_smells,Class names should follow Java naming conventions.
CommentDefaultAccessModifier,Code Style,code_smells,Default access modifier should be commented for clarity.
ConfusingTernary,Code Style,code_smells,Negated ternary expressions are harder to read.
ControlStatementBraces,Code Style,code_smells,Control statements without braces are error-prone.
DontImportJavaLang,Code Style,code_smells,java.lang is imported automatically; explicit imports are redundant.
DuplicateImports,Code Style,code_smells,Duplicate imports are redundant noise.
EmptyControlStatement,Code Style,code_smells,Empty control statements (if/for/while with no body) are likely bugs or dead code.
ExtendsObject,Code Style,code_smells,Explicitly extending Object is redundant in Java.
FieldDeclarationsShouldBeAtStartOfClass,Code Style,code_smells,Field declarations not at start of class reduce readability.
FieldNamingConventions,Code Style,code_smells,Fields should follow Java naming conventions.
FinalParameterInAbstractMethod,Code Style,code_smells,Final parameters in abstract methods are meaningless since they can't be enforced.
ForLoopShouldBeWhileLoop,Code Style,code_smells,A for loop with no init/update should be a while loop for clarity.
ForLoopsMustUseBraces,Code Style,code_smells,Braceless for loops are error-prone.
FormalParameterNamingConventions,Code Style,code_smells,Parameters should follow Java naming conventions.
GenericsNaming,Code Style,code_smells,Generic type parameters should follow single-letter uppercase convention.
IdenticalCatchBranches,Code Style,code_smells,Duplicate catch blocks should be merged.
IfElseStmtsMustUseBraces,Code Style,code_smells,Braceless if-else is error-prone.
IfStmtsMustUseBraces,Code Style,code_smells,Braceless if statements are error-prone.
LinguisticNaming,Code Style,code_smells,Method names should reflect what they do (e.g. getters should return values).
LocalHomeNamingConvention,Code Style,code_smells,EJB local home interfaces should follow naming conventions.
LocalInterfaceSessionNamingConvention,Code Style,code_smells,EJB local session interfaces should follow naming conventions.
LocalVariableCouldBeFinal,Code Style,code_smells,Variables that are never reassigned should be final.
LocalVariableNamingConventions,Code Style,code_smells,Local variables should follow Java naming conventions.
LongVariable,Code Style,code_smells,Excessively long variable names reduce readability.
MethodArgumentCouldBeFinal,Code Style,code_smells,Method arguments that are never reassigned should be final.
MethodNamingConventions,Code Style,code_smells,Methods should follow Java naming conventions.
MDBAndSessionBeanNamingConvention,Code Style,code_smells,EJB beans should follow naming conventions.
NoPackage,Code Style,architectural_violations,Classes without a package are not organized and violate structure conventions.
PackageCase,Code Style,code_smells,Package names should be lowercase.
PrematureDeclaration,Code Style,code_smells,Declaring variables too early from their use reduces readability.
RemoteInterfaceNamingConvention,Code Style,code_smells,EJB remote interfaces should follow naming conventions.
RemoteSessionInterfaceNamingConvention,Code Style,code_smells,EJB remote session interfaces should follow naming conventions.
ShortClassName,Code Style,code_smells,Very short class names are not descriptive.
ShortMethodName,Code Style,code_smells,Very short method names are not descriptive.
ShortVariable,Code Style,code_smells,Very short variable names (except loop counters) are not descriptive.
SuspiciousConstantFieldName,Code Style,code_smells,Non-final fields with constant-style names are misleading.
TooManyStaticImports,Code Style,architectural_violations,Excessive static imports make it unclear where methods come from.
UnnecessaryAnnotationValueElement,Code Style,code_smells,Explicit 'value' element in annotations is redundant when it's the only element.
UnnecessaryCast,Code Style,code_smells,Unnecessary casts clutter code.
UnnecessaryConstructor,Code Style,code_smells,A no-arg public constructor that does nothing is redundant.
UnnecessaryFullyQualifiedName,Code Style,code_smells,Fully qualified names are unnecessary when imports exist.
UnnecessaryImport,Code Style,code_smells,Unused or redundant imports add noise.
UnnecessaryLocalBeforeReturn,Code Style,code_smells,Creating a local variable only to immediately return it is verbose.
UnnecessaryModifier,Code Style,code_smells,Redundant modifiers (e.g. public on interface methods) add noise.
UnnecessaryReturn,Code Style,code_smells,A return statement at the end of a void method is redundant.
UnnecessarySemicolon,Code Style,code_smells,Empty statements and unnecessary semicolons are noise.
UseShortArrayInitializer,Code Style,code_smells,Verbose array initializer syntax should use the shorter form.
UselessParentheses,Code Style,code_smells,Redundant parentheses reduce readability.
UselessQualifiedThis,Code Style,code_smells,Qualified this references are unnecessary in non-nested contexts.
WhileLoopsMustUseBraces,Code Style,code_smells,Braceless while loops are error-prone.
AvoidCatchingGenericException,Design,code_smells,Catching Exception or RuntimeException is too broad and hides specific error handling.
AvoidDeeplyNestedIfStmts,Design,code_smells,Deeply nested if statements are hard to read and test.
AvoidRethrowingException,Design,code_smells,Rethrowing the same exception type adds no value.
AvoidThrowingNewInstanceOfSameException,Design,code_smells,Wrapping an exception in the same type only adds overhead.
AvoidThrowingNullPointerException,Design,code_smells,Throwing NullPointerException manually is misleading.
AvoidThrowingRawExceptionTypes,Design,code_smells,Throwing raw Exception/Error types loses specificity.
