question_id,model_a,model_b,winner,judge,turn,language,benchmark
58210e39b3fd4441a2bd4a518bb44c2d,chatglm-6b,koala-13b,model_b,arena_user_973,1,English,chatbot_arena
2564acd09e3942fd97657d05282d4389,oasst-pythia-12b,alpaca-13b,tie,arena_user_973,1,English,chatbot_arena
90bfd142157948aba01931726c888e7f,koala-13b,oasst-pythia-12b,model_b,arena_user_973,1,English,chatbot_arena
a7c5accc53e649a3bc6b2e41d962ebc4,vicuna-13b,oasst-pythia-12b,model_b,arena_user_973,1,English,chatbot_arena
adf27e819a3c494cb6e993f0c660e097,vicuna-13b,koala-13b,model_a,arena_user_973,1,English,chatbot_arena
c0fc42c6f5f14f2aa5a89f71f8553730,vicuna-13b,koala-13b,model_a,arena_user_973,1,English,chatbot_arena
c4938f25c1d94fc1b110ace95a2243d0,vicuna-13b,koala-13b,model_a,arena_user_973,1,English,chatbot_arena
65e923b1f9c2433aae082d32e6e05f16,vicuna-13b,dolly-v2-12b,model_a,arena_user_973,1,English,chatbot_arena
cbbb83487f534ec5b4cc92b93b79fa2c,stablelm-tuned-alpha-7b,oasst-pythia-12b,model_a,arena_user_973,1,English,chatbot_arena
ce4b1e7676444384994dbda7b228018c,koala-13b,vicuna-13b,tie,arena_user_973,1,English,chatbot_arena
7374a33ea7b249f282e7809e17f31197,koala-13b,vicuna-13b,model_a,arena_user_973,1,English,chatbot_arena
30f63e8f0a4948b78dab07c5f08fe212,oasst-pythia-12b,koala-13b,model_b,arena_user_973,1,English,chatbot_arena
1dc7a8632fc0499d994afd77613cacd9,alpaca-13b,dolly-v2-12b,model_a,arena_user_978,1,English,chatbot_arena
ec2e7c6e72434090ad4ce66f0a0539e6,oasst-pythia-12b,koala-13b,model_a,arena_user_1186,1,English,chatbot_arena
f2e65f9a985d4e0abfa149d5fc9a643b,vicuna-13b,koala-13b,model_b,arena_user_316,3,unknown,chatbot_arena
53ee53c576804e27b445cb9a16a6697b,vicuna-13b,koala-13b,model_b,arena_user_1041,1,English,chatbot_arena
8ea4c640c91b4d3584f20b693686eeb8,koala-13b,vicuna-13b,model_b,arena_user_1080,1,English,chatbot_arena
ec6a898010e5433a899f1435f9de794b,vicuna-13b,koala-13b,tie,arena_user_1042,1,English,chatbot_arena
7465947f90e1473eba5b67fd95caa0d4,koala-13b,llama-13b,model_b,arena_user_1043,1,English,chatbot_arena
1fd14d4dcaa04a769d41198865285bcd,vicuna-13b,koala-13b,model_a,arena_user_1242,1,English,chatbot_arena
6c5e56f3eac34aceaa6d511e024e253f,llama-13b,dolly-v2-12b,model_b,arena_user_979,1,English,chatbot_arena
4f332ebd8cdc4ff2be74aa8828ff20d5,koala-13b,vicuna-13b,tie,arena_user_778,2,English,chatbot_arena
4e5e84fdd6584ad899b9a97083594263,vicuna-13b,stablelm-tuned-alpha-7b,model_a,arena_user_1043,1,English,chatbot_arena
5f3ce4c243b24f8b94fb94cc3d191937,oasst-pythia-12b,koala-13b,model_b,arena_user_881,1,English,chatbot_arena
20b096f576f34cd3836afc8e70cadf8e,vicuna-13b,koala-13b,tie,arena_user_979,1,English,chatbot_arena
dbae6a31ded649659643c86c1d1422d3,dolly-v2-12b,koala-13b,model_b,arena_user_935,1,English,chatbot_arena
fbb56105311f412d8ef30d2a41bd3a37,vicuna-13b,oasst-pythia-12b,tie,arena_user_1081,1,English,chatbot_arena
a33a2682c2ae4ae6a06ec06de4edddd3,oasst-pythia-12b,vicuna-13b,model_b,arena_user_316,1,unknown,chatbot_arena
33c771c3f0a14138b1de816a1ce1c958,oasst-pythia-12b,chatglm-6b,tie,arena_user_935,1,English,chatbot_arena
ef0ea4eda43e4f4d838442310cf29f55,oasst-pythia-12b,llama-13b,model_a,arena_user_1080,1,English,chatbot_arena
b75509372cd641688c7629a01f969e75,koala-13b,vicuna-13b,tie,arena_user_935,1,English,chatbot_arena
b1d30644adb34b97b58d67e6b9cad047,oasst-pythia-12b,vicuna-13b,model_a,arena_user_935,1,English,chatbot_arena
672d3b4cde524276b12d0f2e5ccba385,vicuna-13b,koala-13b,tie,arena_user_935,1,English,chatbot_arena
8120899314f74641b09c2aa114d4d253,alpaca-13b,vicuna-13b,model_b,arena_user_316,6,French,chatbot_arena
9c9f09f456904602b08d1815669b6964,vicuna-13b,koala-13b,model_a,arena_user_935,1,English,chatbot_arena
3faa3dd290324ce0bd7379dac9082f19,chatglm-6b,koala-13b,model_b,arena_user_1245,1,English,chatbot_arena
30c6f04e7a684fff8b2a522a9a5c8279,vicuna-13b,oasst-pythia-12b,model_b,arena_user_1082,1,English,chatbot_arena
d0832d6f73344e2da506d1c42951c397,koala-13b,vicuna-13b,model_a,arena_user_1044,1,English,chatbot_arena
b1f67e47352a41af91144e3735e68f69,koala-13b,alpaca-13b,model_b,arena_user_316,3,unknown,chatbot_arena
aa7d1da993e34236bd0692cd0d9ac25f,oasst-pythia-12b,dolly-v2-12b,model_b,arena_user_1245,1,English,chatbot_arena
670a43c88d734eaa9e0c80415e26ba6f,alpaca-13b,vicuna-13b,model_b,arena_user_935,1,English,chatbot_arena
c2d8673f269349fa987708c5f016ee2c,vicuna-13b,oasst-pythia-12b,model_b,arena_user_1246,1,English,chatbot_arena
238ae6b8eaa842a99f0c84a15379d927,llama-13b,koala-13b,tie,arena_user_1082,1,English,chatbot_arena
f2be6f13e5ed40e5b81443223996494c,stablelm-tuned-alpha-7b,vicuna-13b,model_b,arena_user_316,2,English,chatbot_arena
16b3abe6d420433b8b08bf6f57ea2fd2,koala-13b,vicuna-13b,model_a,arena_user_1245,1,English,chatbot_arena
50a5df80ce994f0eb05e79f1f613ce81,koala-13b,oasst-pythia-12b,model_b,arena_user_935,1,English,chatbot_arena
823f94f564004faa9455775a027b8856,oasst-pythia-12b,llama-13b,tie,arena_user_1132,1,English,chatbot_arena
222ea185fe2a4a688bc38ce2cec8bba3,koala-13b,chatglm-6b,model_a,arena_user_1082,1,English,chatbot_arena
274f542c4fec47ce96bc8bdaf193752d,vicuna-13b,chatglm-6b,model_a,arena_user_316,1,French,chatbot_arena
